algorithm,plaintext,key,iv,encrypted_message
AES,"<,lexO|&ZI,f7Wbfj{B&u{<$!'jS`OU6$J@A&El'x`B+075hPk)B04Ui?T;0dwA>>JW_B""/>2l{>CWBp;Ri6J?!ul{",a66e9e38ac334ee860b1d798727dd0f648596e9f2e7e8bdb8ef1a691c8e47eb8,8853c5f6cf41216546876c02b7a3b69e,11ddf021082345fc7b24d0c5009cd42ab8c79b99b3038a0108fe0363ab57fe8cdfd724059be1fa6da09c76ecfa64acbb251a151af793c2aadb1d07d343513085643bac2918f83a9ab5687713dd94a49708b56d86defb4c8334e5001769f98e44
AES,"OZ&X$8[PNd5k,oJ4&t~GFzm Q#(jf^=",8a539358f1eba13afc230ede9944a13cf21e89e7ccb618224b0105c898768547,34429ebd85d7ae2d1faea659c77764b5,f723f14d91fe2da1cf8af1a67464b9d62190e050444251db605405c67240a969
AES,"y1[X""Pr`]""'(TiY-_No6mLLq2Xa..yeE",eab1d531a26f375fa6cee6b4e3528f144bc9f15c0390310e90427923da05c90f,a8fe9b69330c4fd669df2fc70405e267,10fd2a26446b8f0229d166d51d332535ff79965784bb365ebbf94e8b83e29e0986f13cdde2122cfe9b80f2c00e23ea14
AES,The simple nature of international relations is evident in trade agreements.,660df278070c70b47950e8fae897163324cef4430693ba2fd4833d0e5450e718,db89b9100dc18a983ff852af208d81a8,fb1a808adac1e5f0524450537381c179f963859bf1246408ed1f8838f930413515c557508e78e479751839865a0db69d14eb2907933b52f9f754411de4fa2bdb85e64eb07809cc33be3ee868dbb498bf
AES,Learning about space exploration can be creative but rewarding.,f84b5314fbd483cfbd047239adc5a8c047cda2a6757925ddd02d7acdc3ad8d18,7e65960deec29c9e2c1ed2860fa3bac9,6643a0d55fe0509db7c28a53dce0c9a6b1682b06c3881933e02c7daecbe95499583434d92bc078282792c97d5d90ed1623f7f4328f151b73ddb2199dd0e9af81
AES,The medical research is a key component of philanthropy.,1b9e169389eb84edd475ca39d160abe5dcf03a402b9656c205946adbc35b693c,9173e30af0509cbd158e4774685bbe46,d54f12b2d3f3d760d1b706f0c67d660e947926335a448f268bd3135659639ce2526d64236f380f72e30f120035712b2a5a0627b3b4fa88671ae0ffdeff2d6f8d
AES,The space technology is a key component of performing arts.,a5848f881aa65dab34becded3100ae3dbd82db0e86bc05cde5ce5361ec5d18a4,ffa0a35aa66f8d5c3d47a63b90f95a9d,fbfc5028044e121cb7a5af8419b2a558b8aae0bb99a1f86e1cadb88219fe33175d7ba8ffb2c3e5bc9748abdb852a085e5c53d07e15d5c8fc559914c2fd3b3af1
AES,"In the context of innovation, diplomacy is simple.",17bbe9a30980cd4e6e09feb5196b9e19c72380ab68560d7dd4a5849a239fde3c,05ceb8b39a9ec06de5e541835f06e5aa,43c4d4095b3c2e1bf847dcc7b8f1ef9b1d8b30ebb9ab472c380614c43da0b335b2c46850e4cfd125b115a416bd5f1b10f1d76978b6ce298668ecdbfa79fe1c1e
AES,This is a efficient message about robotics.,5b1095cbd24f4d27a2b7b1e7e116e0ba729289fbf7a876fb85aadd66672ed10e,5088922cb196e53938a8560a96003332,29cff50ae5ef249fbb0a85c4e649803777d4c0bc683e728a1f8638d073f74db0a12c6f2d1dc54a3f79cee0e8a05e716c
AES,"In the context of startups, climate change is vital.",42acc0b8bebaeaf1f12e3c43e824f550e5a5a1a61ea43d46ed5e5164e6e2d002,903ad03433f7dbe7e7896818000fdc42,252ae3abdce0098c955bd9b6ede70558470bb1b491b78e51f28637944092e1a5dab035a135ff51caa74b26659edb528c21cffc156bc5292b02b1e40f0447e9fe
AES,DF<sOMo(vInpR|x]$_,1288981da35773e751acab11f8472f6ebddb5308367a11d8f1531ae9aa557f7f,e9e760fb59f5ef10e76b321b819ac596,b092adddd67da8072a87e732b650e141008ecfc3b57a7523fe71fd080d908edd
AES,The cultural heritage is very important for robotics.,11d59b57a06eb21cba4162c20d55d5b5b2a2f94a98ea4bf5a2cec55a7f2dbd96,0f483eb1196e2106b8e89af33ca8698b,cf30e30d9b39709ccbd75f004adf2b2d45e9ba7b5710a2b3554341ba51731ceab94974d9c26381c45f63553e07ec0802f8803f92ce72dfc65e9478f225725cc2
AES,Learning about philanthropy can be international but rewarding.,dd2675a1e693e63ecdb2bad55e222742238604d3f192b298493f35ddf3477cdc,4a5f05bb4a15d9133d8397971b3370a8,d0a009fe2448d9d6050ef77fb5c8b9dcfbbb9a923b9d5d6a6a667eb669dc2624bed5a20013937adc51ef58f59a960c128f9939052a189ddc4e8052c1373eeace
AES,}q0TO(dpdjEr~.5-b=W/O$aX9dJ1gj4j^0Xvjmhuw\IrT2,8d9902747fc2d31665ad7eb86bddbd3eebd7c613907415f1b66d40129745abdb,05cad7d8f4cb630c4a81c460455ec3e2,f97ae6514e371f811b92ab505f462ebd76fef1ef8ce6065c10516aa0f7382760963c6e5c7c1039631c3387991d70995b
AES,?7ZtMD.xSD,c46ec8a9a9b5f1250b71f0b350e5ce3460337b7573ff092b6e8c04e415a9e497,212f3ee2e141cc945735c8ebdfeb5f9b,7f9e008e265ca52dbc8b044f8e3762b7
AES,The fascinating nature of renewable energy is evident in economic policy.,0242cbfeec3e063c7470b87d503bdebabbc819aa910a587258917d9cde45c5ee,1d32179042a3a06fc19225ebc2838391,f8d60c8dc96a2b89d11174b8c7b29564f0b7fc717ce720a79b4a4a22519593ef0de5ffe3a445eecce6cf820319b3cbdaedc1a952ecaee18f105385a64f59b070848aa34d3bfff5f0214df9a299c9d54e
AES,Understanding robotics requires knowledge of international relations.,1ade6fbcabb459d6c5ffe3f0c339537b0c32ba21323c5b6df6b535520fe4463b,ff99cd9b491ec7e96231f97c29d7a48e,5b17196964ec3c222e04fac0a5db9f2a8c3cde0c605a9a0afa299d558467c7b54a8555fe523ea4fd9dde40fb50e3068d3f919fdf7275e668e0a6217a5b1679d416a9f74f61844d7b6c66a8901e8a88fe
AES,The pandemic response is a key component of equality.,329d6539795eb5dd9a59b22d328f9e7da577c36df7407e071d4d18d050fffc0d,d06297ac0044c944f7e3b740e5578523,6c5bf8c83eadbcb76fba08fa5f9be0952c1615fc1f920aa1a60c278556cdf8d3e4412b9790e689176938d88962bab62b925897d91d79fbefd89ea1c077b333a3
