sample_id,category,original_text,plaintext_length
1,Financial Data,Transaction: SOS 854.00 for Horizontal multi-tasking customer loyalty,69
2,Legal and Medical Text,Legal Clause: Education husband picture college difficult be care north.,72
3,Business/Internal Notes,Project Update: Program cell bill product heavy.,48
4,Business/Internal Notes,Decision: Big get risk question.,32
5,Legal and Medical Text,Prescription: Memory clear similar strong wrong.,48
6,Legal and Medical Text,Legal Clause: Do military affect.,33
7,Chat Messages,Hey Melissa! Across young part data method time major. 😊,56
8,Business/Internal Notes,Decision: Final yourself anyone beat.,37
9,Financial Data,Transaction: VEF 702.53 for Organic secondary open architecture,63
10,Financial Data,Transaction: GGP 635.35 for Adaptive cohesive throughput,56
11,Business/Internal Notes,Decision: Family future worry seven.,36
12,Business/Internal Notes,Decision: Game big through Mrs drive someone throw.,51
13,Business/Internal Notes,Decision: Author approach type admit right cultural country.,60
14,Legal and Medical Text,Prescription: With require including.,37
15,Legal and Medical Text,Prescription: Heavy stock product wife audience agent coach reflect.,68
16,Financial Data,GB30RFIA44096215102485,22
17,PII,2007-03-02,10
18,Legal and Medical Text,Compliance: Effect my southern building identify money ready police.,68
19,PII,William Gibson,14
20,Authentication Tokens,API Key: 492f4d95-857b-4e69-b564-d0f08051e759,45
21,Business/Internal Notes,Meeting Summary: Help finish job bring.,39
22,Chat Messages,Hey Jeffrey! Mother perform huge likely end board process stage. 👍,66
23,Authentication Tokens,API Key: 6a41faab-ac2d-42ff-bfba-27eb6af933b6,45
24,Authentication Tokens,API Key: 345b25a8-445e-4a58-9fd9-bf3706398a5a,45
25,Chat Messages,Nothing growth adult change. Finish foreign under better.,57
26,Login Credentials,"Username: eperez, Password: Y_%C4@YqP3",38
27,Login Credentials,"Username: vchristensen, Password: !HK0KGdA#R",44
28,Authentication Tokens,OAuth Token: 9f8826cfe4a2f2c4e062679ad8801528b23d7b5d,53
29,Login Credentials,"Username: wayne15, Password: ^9%eEk!grY",39
30,Legal and Medical Text,Prescription: Approach watch represent focus step lawyer red.,61
31,Login Credentials,"Username: karenhart, Password: R&0MiwucXd",41
32,Financial Data,Credit Card: 3554927887090882,29
33,Chat Messages,"Quality mind over camera. If size attack blood.
Above sit kid. Road into share he.",82
34,Chat Messages,Hey John! Turn yourself fact federal. 😊,39
35,Authentication Tokens,Session Token: f1351d2def3f691947a5ccd713e0df412e12be5fe5eda8df03d11091ee8a8db6,79
36,Business/Internal Notes,Project Update: Left agreement pressure available edge.,55
37,Authentication Tokens,API Key: e0804d1b-a139-43e9-9c08-09fc8fe8ab7a,45
38,PII,Robert Martin,13
39,Legal and Medical Text,Legal Clause: Cultural boy culture million side despite.,56
40,PII,Bruce Hatfield,14
41,Chat Messages,Cover career article. Pay tough one. Call operation thing little red growth.,76
42,Chat Messages,Hey Justin! Case thing serious situation front at. 😂,52
43,Financial Data,GB58HGOZ14368763491019,22
44,Authentication Tokens,API Key: d211a002-acb1-46a4-aa7c-0646e4c31c91,45
45,Legal and Medical Text,Compliance: Recently behind find season.,40
46,PII,"481 Kim Lodge
West Alexis, KY 33496",35
47,Business/Internal Notes,Meeting Summary: Western indeed answer might theory light owner.,64
48,Chat Messages,Multilingual: Strategy who law receive. sk,42
49,Login Credentials,PIN: 2646,9
50,Chat Messages,Hey Stephanie! Bar myself leader whether. 👍,43
51,Chat Messages,Gas always effect college.,26
52,Financial Data,Transaction: KYD 694.83 for Horizontal fault-tolerant support,61
53,Authentication Tokens,API Key: 1f142525-7856-4a07-9c45-934c6cf48fc9,45
54,Legal and Medical Text,Legal Clause: Late off scientist fill also ten finish.,54
55,Authentication Tokens,OAuth Token: 8420309ed522162e853f57f099023c71d8eca3de,53
56,Legal and Medical Text,Prescription: Figure learn they couple figure.,46
57,PII,377-81-2568,11
58,Authentication Tokens,Session Token: f5ee0a9d0971d1f11aba293bef9d8f8b3c1671b84d261fe57b6f0e41d97dbe73,79
59,Legal and Medical Text,Legal Clause: World represent newspaper similar seek nothing team.,66
60,Login Credentials,PIN: 4404,9
61,Chat Messages,Multilingual: Me see it little hospital. niu,44
62,Authentication Tokens,Session Token: baf8090a5b07b26b404700e3c03f96f20df715674ac3d940d6439450149e77e4,79
63,Legal and Medical Text,Compliance: Watch actually social who whole travel.,51
64,Business/Internal Notes,Project Update: Poor glass item surface amount mind.,52
65,Business/Internal Notes,Meeting Summary: Real prove perform.,36
66,Legal and Medical Text,Legal Clause: Head strategy money water effort least fear learn.,64
67,Chat Messages,Push control affect share reflect. Store ahead major approach draw expect. Officer politics ball.,97
68,Business/Internal Notes,Project Update: Personal model always without show.,51
69,Chat Messages,Multilingual: Program beat expert. mr,37
70,Authentication Tokens,Session Token: 753d8231c35eb2b11a95dc53202e2a9c04dc18dab8720a83ffc95e7428db8ff7,79
71,Login Credentials,"Username: dennislane, Password: w00Kasj+N&",42
72,Chat Messages,Multilingual: Former necessary son just low share data. sv,58
73,Business/Internal Notes,Decision: Fill science week small.,34
74,Financial Data,Transaction: AMD 672.59 for Synchronized systemic forecast,58
75,Financial Data,Credit Card: 4338657144141019,29
76,Business/Internal Notes,Project Update: Not Democrat fear.,34
77,Financial Data,Transaction: NZD 651.15 for Sharable asymmetric complexity,58
78,Business/Internal Notes,Meeting Summary: Grow give five society position adult medical college.,71
79,Login Credentials,"Username: mallorycox, Password: xNZk(4Jx$P",42
80,Login Credentials,PIN: 522,8
81,Chat Messages,Multilingual: Office trouble offer voice cover glass modern. ha,63
82,Legal and Medical Text,Legal Clause: National her buy as better red.,45
83,Chat Messages,Multilingual: There start create cost nor husband. ur,53
84,Business/Internal Notes,Project Update: Pay actually should science great painting tonight.,67
85,PII,(205)931-4353x5311,18
86,PII,019-59-7190,11
87,Chat Messages,Hey Jason! Edge institution forget manager know. 👍,50
88,Financial Data,GB50GMJV62371200159379,22
89,Authentication Tokens,API Key: 8714a09c-2212-4167-b4c6-244af6f60b74,45
90,Login Credentials,PIN: 9344,9
91,Legal and Medical Text,Legal Clause: End spend foot garden east conference.,52
92,PII,"44510 William Falls
Amymouth, KY 61270",38
93,Legal and Medical Text,Legal Clause: High answer line notice.,38
94,Chat Messages,Hey Karen! Maintain us deep condition soldier many executive. 👍,63
95,Authentication Tokens,API Key: 6722389d-0439-442c-aa05-1bb5dc8d185a,45
96,Login Credentials,PIN: 4150,9
97,Authentication Tokens,OAuth Token: 0db2822b530855a363e2df91089e0f0f607edc71,53
98,Legal and Medical Text,Legal Clause: Stuff government speech continue guess leader.,60
99,PII,"07360 Ryan Common
South Nathaniel, NH 03321",43
100,Authentication Tokens,API Key: 362d3237-2ec3-41fb-b1d6-6e833d35c2fb,45
101,Financial Data,"Account No: KNMA69974843816559 at Miller, Mckee and Henderson",61
102,Financial Data,Transaction: SCR 525.74 for Team-oriented incremental product,61
103,Business/Internal Notes,Project Update: Address condition author give attack protect.,61
104,Business/Internal Notes,Project Update: Personal one though fear growth.,48
105,PII,2016-06-16,10
106,Financial Data,Transaction: XPF 888.25 for Proactive dynamic functionalities,61
107,Legal and Medical Text,Prescription: Growth exist building space.,42
108,Financial Data,Account No: QYIK92611801991043 at Martinez-Thompson,51
109,Authentication Tokens,OAuth Token: b2dd0599190c52530bdba2e180153d2b896ea5a3,53
110,Login Credentials,PIN: 2740,9
111,PII,Clayton Nelson,14
112,Financial Data,Credit Card: 213130163174277,28
113,PII,"7607 Bryan Trace Suite 739
West Janicechester, IA 79870",55
114,Authentication Tokens,API Key: daa6d0e9-dc89-4309-9d18-e713d52585f6,45
115,Business/Internal Notes,Decision: Majority far amount news sound sound.,47
116,Login Credentials,PIN: 4119,9
117,PII,1949-09-30,10
118,PII,"259 Jeff Shores Apt. 621
Allenmouth, HI 49951",45
119,Login Credentials,PIN: 6175,9
120,Authentication Tokens,OAuth Token: bc7e933ba791c8ff1f56b091b9214b52cfb533be,53
121,Login Credentials,PIN: 5197,9
122,Legal and Medical Text,Compliance: Another green recently.,35
123,Financial Data,Transaction: THB 90.00 for Face-to-face interactive capacity,60
124,Financial Data,"Account No: URNW72643414772807 at Walsh, Meyer and Thompson",59
125,Financial Data,"Account No: UUCD78091828687164 at Boyle, Johnson and Gentry",59
126,Legal and Medical Text,Compliance: Yeah official money.,32
127,Authentication Tokens,Session Token: 80085afa5457d7272d0d227d2e1fe5992224fdb7b5fbc8ba13034f331f0263db,79
